1000 10000
999 8 786
503 176 990
660 67 840
987 283 587
497 698 716
914 876 931
572 763 526
27 346 286
362 62 593
914 539 609
947 369 238
121 204 47
232 222 968
170 355 455
588 390 211
285 361 771
751 408 248
303 562 654
591 395 994
37 544 1000
468 745 220
294 586 126
798 95 896
953 37 432
427 527 975
941 346 401
766 1 351
800 906 800
661 988 325
732 708 179
83 813 898
752 653 29
31 837 24
791 268 554
105 914 737
473 183 809
131 64 392
779 923 210
442 625 54
63 103 957
194 800 148
899 942 62
778 101 577
148 725 233
214 227 549
380 481 147
842 19 59
618 338 483
729 822 148
103 742 746
623 436 653
790 562 259
976 434 763
238 244 32
137 473 364
999 887 298
367 976 473
48 891 736
347 693 46
896 704 512
485 728 726
240 805 617
43 346 643
956 421 373
66 538 886
515 115 728
780 837 623
969 485 826
651 420 799
192 167 773
181 83 814
531 389 139
882 327 195
66 851 42
204 640 94
795 988 316
628 98 26
870 991 710
183 736 631
1000 716 968
401 869 42
999 24 504
734 607 637
545 516 780
773 435 205
378 396 10
851 787 831
623 565 975
729 362 756
613 386 133
764 209 71
679 137 398
175 823 20
825 332 474
393 300 849
209 155 128
51 467 271
792 417 644
480 430 609
668 288 749
741 804 243
310 518 778
711 368 93
494 649 672
752 893 105
894 783 763
431 635 158
527 438 147
846 330 991
221 922 947
753 885 781
328 99 866
96 818 397
956 369 351
163 733 190
163 821 278
549 824 45
845 830 634
931 622 342
679 459 30
471 97 15
217 860 346
917 675 176
527 220 156
363 54 244
294 462 218
599 626 379
448 655 911
197 305 718
941 893 516
390 249 577
594 828 394
598 829 922
742 146 715
593 918 194
94 716 349
892 575 390
563 776 20
553 185 402
136 162 778
259 495 425
968 75 491
839 516 878
74 980 270
407 266 324
145 754 788
541 589 327
328 35 168
509 252 678
226 605 805
10 765 957
97 349 984
318 423 582
142 852 709
598 669 377
146 608 693
695 282 826
411 125 146
264 971 609
184 607 792
982 63 406
482 277 633
86 794 171
596 484 277
935 686 923
550 490 397
31 371 437
551 814 915
160 280 701
959 376 185
557 848 725
743 882 466
270 240 702
600 18 802
864 383 809
292 744 728
195 139 572
939 166 395
890 906 824
556 857 569
374 952 386
559 39 753
361 205 755
886 402 308
757 406 929
375 421 133
488 221 957
570 598 115
834 446 582
888 23 381
136 691 434
509 594 296
149 82 155
141 316 363
534 523 802
355 777 620
982 150 225
251 256 969
867 565 156
162 557 72
178 739 831
670 649 209
319 630 291
794 969 669
301 295 584
559 82 168
397 939 973
610 665 240
586 689 530
914 614 829
621 369 226
190 127 304
383 734 342
338 720 36
897 136 826
132 181 428
43 949 669
606 137 107
158 818 461
163 126 733
459 563 723
396 622 876
99 842 261
91 84 398
705 27 425
845 772 153
92 849 646
376 363 347
484 566 695
813 408 902
586 550 701
304 952 470
332 515 713
987 176 620
606 993 531
68 429 49
787 465 226
239 367 706
142 344 288
237 908 260
970 496 231
849 121 826
536 615 842
401 825 898
287 984 610
507 499 539
173 956 280
2 635 725
197 774 556
227 92 700
70 395 705
613 772 61
263 726 847
554 151 411
182 183 16
178 440 530
925 893 317
726 430 528
506 131 645
995 47 85
700 862 93
658 186 997
312 574 439
432 393 716
775 996 422
905 53 524
76 851 141
669 908 473
181 634 173
988 734 359
948 456 186
959 531 692
5 473 345
728 722 198
829 232 746
188 72 580
354 671 145
466 495 476
384 263 240
739 105 529
4 437 483
334 888 555
579 343 766
940 752 816
957 109 943
938 608 594
552 177 138
596 911 572
349 6 574
117 83 90
916 688 507
375 767 163
408 543 70
661 89 381
811 85 750
76 670 368
427 402 171
120 892 606
278 571 83
29 698 8
949 763 359
107 816 900
802 843 615
141 482 898
613 853 184
735 472 839
82 766 778
378 129 282
368 335 793
65 91 390
366 861 845
663 325 126
15 318 486
726 644 899
928 508 988
492 928 918
265 964 393
74 757 863
517 992 583
747 641 863
782 16 578
556 541 520
851 790 706
507 605 616
897 691 166
152 883 511
488 740 31
849 958 939
971 778 316
33 821 129
651 973 583
909 726 926
576 895 110
850 6 931
833 771 38
725 594 689
982 204 702
260 441 717
271 711 546
626 397 638
629 102 288
610 934 151
594 756 250
175 418 754
548 627 740
905 999 531
250 186 982
942 796 490
928 619 968
443 123 481
525 496 823
613 664 190
294 901 352
784 633 577
229 660 479
211 784 179
977 969 812
910 600 171
390 395 696
438 826 892
857 1000 352
748 481 934
524 332 134
398 565 702
559 145 142
423 466 879
311 213 435
232 600 332
566 420 491
894 710 881
760 516 421
417 421 988
952 670 259
859 942 957
185 155 626
752 894 606
685 403 562
76 102 832
572 126 624
293 500 858
703 483 829
480 1 543
167 263 844
753 900 797
223 971 559
742 200 98
361 472 833
135 666 293
969 617 331
171 538 474
204 111 173
611 231 647
301 768 916
72 34 441
117 374 495
914 421 14
412 712 564
988 120 3
644 841 300
760 116 545
83 722 786
433 382 456
305 587 539
61 882 371
667 320 222
22 294 334
898 473 159
950 659 825
274 514 406
148 617 761
809 532 54
878 816 552
362 40 529
570 449 968
173 565 148
307 166 378
170 861 505
579 101 998
949 356 536
754 756 100
713 450 934
621 258 859
258 153 905
211 525 574
283 614 784
514 153 645
543 278 690
201 149 742
667 868 871
658 664 386
383 32 643
986 651 500
521 660 462
874 573 647
51 275 804
699 604 531
621 906 585
765 435 138
129 325 50
403 9 510
930 652 872
733 729 854
768 62 680
355 171 304
692 853 10
54 295 507
412 383 755
989 166 82
3 536 133
644 208 270
82 395 124
372 696 446
561 866 725
403 592 96
520 987 353
163 445 997
551 894 875
288 28 123
802 677 8
333 239 971
867 968 954
499 552 943
219 867 991
166 609 823
128 112 33
419 414 737
536 891 885
299 554 918
175 863 646
203 78 551
918 527 517
822 626 711
31 342 697
144 137 224
144 823 174
712 624 51
497 566 607
226 126 735
897 398 198
94 496 511
857 285 30
490 412 986
244 623 900
121 274 879
385 838 697
109 632 281
600 283 992
466 123 195
616 797 247
309 365 28
786 659 5
712 825 988
575 441 90
530 8 414
985 128 385
133 276 591
421 284 656
473 51 85
686 697 216
655 834 680
208 204 595
908 199 84
944 104 793
998 588 432
724 931 759
399 52 565
526 378 473
263 879 930
596 896 44
330 299 60
780 997 526
493 640 720
129 732 421
873 617 295
307 29 929
960 411 652
569 916 736
788 738 840
746 915 312
201 80 398
757 337 98
197 385 91
278 762 502
67 678 284
368 798 949
726 23 369
652 303 382
297 835 336
182 711 126
643 649 131
821 907 996
394 691 672
112 522 511
903 41 575
527 278 127
800 362 631
918 600 77
219 204 147
391 745 783
654 277 284
823 643 434
567 937 713
353 265 305
638 975 216
484 823 174
751 744 425
534 555 45
679 178 721
14 233 615
938 537 524
850 957 819
525 227 789
18 358 768
274 824 622
953 977 585
455 212 551
836 623 591
11 350 205
333 582 56
648 357 42
458 254 882
739 383 391
648 690 191
966 511 450
796 983 364
665 113 193
628 478 783
173 804 217
291 358 812
29 838 818
109 390 571
856 805 657
29 683 285
88 926 758
49 995 614
557 770 961
853 835 796
288 730 682
579 94 846
894 777 742
137 494 2
513 920 417
441 692 37
673 868 505
206 529 737
567 936 510
373 752 607
263 483 687
590 584 468
264 508 149
281 856 994
754 808 148
563 106 1
776 450 459
267 167 532
653 822 274
685 335 16
124 190 431
847 335 40
143 161 55
283 37 264
954 714 7
939 236 574
168 86 799
80 969 492
1000 919 83
442 681 51
855 182 369
432 374 434
848 524 450
487 496 696
49 560 79
871 988 451
919 43 926
692 598 502
959 694 637
899 350 626
802 489 219
994 982 184
205 184 790
251 424 420
318 785 254
892 720 301
760 37 544
75 784 200
970 58 10
167 412 517
562 290 108
719 905 218
662 308 114
426 684 195
811 71 960
104 302 874
827 109 717
31 659 791
219 387 659
856 535 341
362 335 407
247 520 728
719 258 307
682 371 879
1000 96 190
693 559 724
416 11 795
663 577 410
17 329 790
414 365 768
774 791 227
434 149 195
413 767 795
161 23 202
323 653 165
460 962 680
959 230 402
699 477 597
391 790 573
839 134 841
742 433 794
229 453 406
631 726 617
354 595 612
115 776 394
249 560 559
360 565 703
725 641 223
179 813 532
426 487 490
964 610 394
256 491 511
184 360 275
319 413 271
910 940 96
331 88 558
515 428 443
23 42 825
96 761 658
476 707 217
118 466 74
61 880 405
588 631 272
920 80 348
534 569 858
110 677 808
986 863 317
872 100 870
923 662 303
378 125 18
947 699 33
964 332 921
714 816 639
725 269 228
624 75 170
560 887 732
774 163 749
837 204 458
46 62 6
886 379 34
247 134 613
54 999 201
689 306 359
191 24 69
433 940 62
653 962 825
770 54 508
371 113 543
369 520 827
693 645 660
19 577 139
790 395 99
988 406 171
726 235 995
950 79 721
227 128 127
3 210 611
967 201 417
894 434 955
156 814 4
904 663 495
745 372 213
309 293 174
826 882 81
713 462 455
315 797 777
134 430 841
824 840 1000
380 307 987
356 62 234
209 371 545
92 660 170
971 895 700
738 933 722
6 660 117
590 402 473
25 793 970
387 476 47
217 325 772
60 364 543
739 383 39
311 35 656
941 370 411
600 241 175
847 371 803
143 725 141
485 392 476
993 104 714
361 520 830
750 309 710
73 622 992
1000 161 485
545 583 345
757 624 349
935 985 699
67 614 602
768 645 225
53 921 612
583 18 404
150 93 731
128 310 245
608 777 247
262 693 949
613 459 634
993 435 110
191 475 117
854 498 430
397 970 574
833 399 30
796 964 112
750 358 566
923 84 910
6 51 853
873 821 5
446 190 353
415 424 455
366 846 21
686 848 457
898 216 393
621 649 434
853 845 873
367 164 633
877 324 542
105 276 109
445 533 48
512 995 110
861 82 764
593 687 406
112 652 14
381 482 57
218 212 338
55 861 129
668 537 986
39 202 868
699 619 800
484 583 570
660 608 738
15 266 714
504 292 265
572 151 610
681 6 99
298 138 712
442 661 24
749 850 635
754 566 121
769 573 664
950 229 544
263 695 839
670 579 202
371 304 576
971 586 281
279 227 752
426 50 674
615 383 397
990 80 924
188 368 59
154 393 624
246 297 693
702 780 979
577 589 55
180 786 964
133 272 204
118 523 825
574 938 290
100 625 2
735 386 489
91 135 634
506 661 263
20 783 59
704 399 108
551 150 793
90 447 213
346 626 865
452 416 50
949 620 731
594 561 351
771 991 775
777 809 356
692 819 267
684 389 117
338 590 52
853 1 143
565 931 902
902 138 272
729 510 746
185 36 479
421 69 660
982 728 913
176 809 927
338 49 811
651 167 407
457 135 751
612 365 293
533 38 908
188 603 750
255 697 200
980 471 414
422 590 513
89 608 938
248 154 140
825 846 123
643 422 158
920 819 387
942 434 403
559 35 842
957 915 848
500 524 727
778 447 331
47 404 824
67 1000 571
742 430 510
735 419 971
400 157 606
429 43 823
617 68 970
189 506 739
118 120 180
655 647 622
511 111 475
236 727 636
969 192 633
309 472 693
477 222 563
936 469 337
248 727 301
196 481 791
162 243 701
164 88 735
315 241 669
466 268 361
419 805 155
41 352 764
530 196 563
106 336 990
865 693 623
134 773 592
3 779 374
652 461 344
907 541 504
889 67 490
775 894 354
198 575 562
998 676 961
991 272 973
343 831 227
37 743 293
146 207 153
606 280 42
649 286 645
497 194 835
926 667 296
715 808 586
942 717 251
816 488 84
529 814 417
985 64 299
135 219 363
127 251 240
601 377 969
882 639 662
567 364 546
875 86 470
888 877 680
983 368 844
295 753 584
260 591 996
967 800 281
688 196 583
315 166 630
517 577 290
556 739 8
778 305 380
352 572 530
122 910 351
185 313 13
538 17 584
102 422 604
254 614 247
245 945 74
384 244 205
82 934 388
71 106 391
661 838 254
198 497 510
460 328 115
662 728 245
735 699 389
837 718 760
521 206 934
723 953 408
894 81 548
504 457 640
650 536 147
298 907 291
379 372 859
939 149 227
980 946 974
160 96 831
135 814 342
642 520 569
86 272 611
672 490 954
414 71 637
562 376 197
377 561 597
181 340 722
858 230 762
982 298 159
69 10 756
298 372 395
87 275 305
519 4 398
879 504 235
628 263 831
40 366 684
480 396 547
838 731 389
787 518 952
600 532 356
994 560 486
856 73 546
771 149 214
260 567 135
643 227 216
931 720 906
22 801 291
855 224 993
539 467 900
150 727 98
754 210 420
607 44 994
49 636 133
858 935 144
380 135 120
24 383 243
627 823 777
654 998 875
106 149 228
398 467 7
441 340 941
88 940 31
28 938 462
924 573 375
775 998 928
207 953 589
311 6 959
714 631 123
374 188 225
347 402 63
272 895 496
206 850 646
222 47 883
795 215 808
447 348 342
745 191 132
426 211 831
230 143 584
977 39 954
355 758 338
176 923 993
72 556 896
879 746 949
948 445 623
979 511 249
127 764 884
42 146 87
510 408 130
620 514 595
189 41 763
19 574 185
15 197 250
552 946 64
455 821 103
944 435 189
86 615 765
678 491 243
935 750 431
153 121 846
663 659 310
705 629 465
208 576 958
340 593 684
214 86 39
552 962 996
196 45 411
320 17 242
223 449 641
497 250 813
822 295 270
733 95 778
998 690 100
13 944 773
718 412 891
263 970 873
51 611 823
516 196 283
344 128 314
201 859 671
571 778 57
456 649 770
190 860 741
435 809 675
748 734 696
466 494 554
921 529 975
187 190 332
978 559 907
523 575 935
635 884 322
77 851 830
195 114 190
316 559 575
599 259 720
354 51 839
866 560 771
283 418 514
119 992 121
349 574 130
396 976 470
13 765 383
432 938 380
501 649 277
980 129 438
975 789 652
761 792 181
524 599 911
139 774 389
760 817 989
910 167 746
540 317 201
485 6 234
315 754 57
69 640 362
257 997 548
463 540 254
849 942 326
689 206 979
537 731 664
87 960 190
369 171 732
584 856 399
898 890 512
945 298 910
65 890 258
648 222 826
817 414 801
976 488 529
977 853 764
828 499 782
882 387 985
795 550 129
651 750 652
241 94 660
132 580 982
576 571 468
754 542 179
578 705 443
174 807 47
761 810 318
827 576 514
181 782 321
882 265 525
110 502 327
644 684 855
444 583 262
780 236 417
854 207 535
882 826 186
416 257 773
415 791 972
977 759 952
40 29 505
759 684 378
319 391 760
878 157 818
826 616 604
437 1000 580
374 527 922
942 970 453
462 41 715
790 26 317
659 784 556
778 89 830
599 783 621
882 53 184
117 972 438
138 906 254
808 118 45
250 677 931
610 217 533
796 233 812
848 757 395
465 643 5
193 149 5
880 562 451
154 621 204
130 906 152
688 578 661
444 476 853
265 263 832
211 357 345
884 306 59
289 292 486
127 726 267
843 904 553
937 951 707
285 277 468
489 812 95
1 895 113
809 938 73
738 1 139
835 75 974
676 49 728
811 41 354
532 651 489
564 15 184
440 371 353
590 114 205
98 411 818
361 256 83
560 750 480
124 910 885
450 200 276
971 720 559
26 183 595
577 120 517
807 377 178
822 76 781
151 844 823
59 27 426
584 223 227
211 944 850
636 441 11
647 415 745
742 280 40
986 665 168
220 564 796
237 628 753
788 885 615
957 622 605
329 974 385
48 901 639
914 464 632
453 380 793
357 57 94
860 388 657
71 435 726
766 180 121
455 868 896
322 495 862
964 755 131
401 527 264
995 480 499
898 415 885
256 507 316
358 906 324
76 601 716
281 31 456
483 28 531
892 888 908
731 643 142
357 539 623
452 471 377
448 139 719
707 716 415
47 461 864
136 841 813
739 84 501
978 228 558
596 927 561
333 845 220
151 279 396
363 68 185
157 369 521
601 137 433
944 710 61
911 558 572
716 11 510
238 779 864
943 586 108
919 630 871
729 808 1000
323 1 119
683 326 702
743 942 979
3 718 579
78 592 744
188 827 399
785 865 818
690 439 729
77 483 986
870 226 544
298 571 56
441 24 927
55 377 727
222 698 808
894 649 527
67 986 267
346 479 956
273 42 700
908 978 867
282 811 63
198 667 443
8 84 123
997 777 129
342 1 135
507 684 494
197 147 310
617 74 397
683 44 720
705 164 927
348 122 707
277 12 665
863 951 227
840 598 662
726 883 649
698 724 488
402 255 282
106 532 573
654 81 883
274 705 183
331 605 762
336 603 475
532 583 291
483 903 590
557 346 781
230 242 404
293 46 376
118 976 649
333 740 818
325 89 575
242 429 338
505 410 330
451 694 455
987 497 651
480 423 830
79 466 661
950 159 415
919 659 224
371 99 710
958 142 884
452 579 863
971 212 644
748 253 375
429 629 990
421 23 167
260 389 592
818 248 500
456 929 170
947 918 571
859 44 20
967 341 265
617 616 920
873 490 494
585 140 378
917 782 391
119 938 846
345 322 393
637 505 239
936 190 573
754 697 408
110 674 400
108 960 730
63 962 130
967 636 131
152 443 198
634 126 412
534 759 952
409 261 55
470 908 808
700 512 480
887 303 74
619 315 424
109 658 280
363 683 448
427 24 456
725 365 890
738 327 459
402 603 694
8 306 791
315 177 749
383 52 292
183 490 506
351 358 427
842 863 964
123 763 382
728 738 534
330 977 726
245 986 6
832 721 735
770 751 764
945 711 440
630 80 760
304 943 910
803 767 432
920 189 931
193 286 33
325 379 18
398 982 497
152 632 314
742 60 410
531 14 276
294 581 575
434 827 854
488 164 486
126 277 77
35 480 473
185 57 185
971 370 734
789 369 759
166 865 706
114 764 195
277 604 528
344 453 554
253 867 653
47 959 639
929 472 81
30 791 396
247 927 230
343 646 819
100 375 327
439 267 547
947 701 216
625 774 908
29 655 989
461 904 261
600 580 646
765 482 737
787 497 377
799 273 909
869 135 882
334 658 135
785 522 656
901 950 301
721 91 276
966 61 145
659 271 620
370 387 124
973 642 556
336 552 691
425 58 221
192 859 736
531 188 319
719 162 530
48 861 386
355 370 733
573 817 288
312 53 563
812 238 864
684 645 23
200 132 209
791 595 834
129 446 148
977 634 333
317 219 535
799 114 799
684 219 709
769 118 380
766 858 290
311 46 683
56 934 82
295 357 130
964 296 743
94 536 19
198 75 549
490 888 875
579 164 801
701 730 679
425 239 450
94 888 60
987 358 240
712 286 989
797 109 378
204 707 77
552 975 180
171 867 752
37 115 781
832 505 471
974 620 441
418 627 251
378 720 733
314 105 266
226 668 667
778 964 575
976 556 882
644 453 364
854 307 364
807 51 825
783 837 859
54 349 212
644 448 235
41 909 48
10 769 646
423 304 204
929 815 463
461 39 966
595 910 675
348 707 510
46 807 823
125 882 832
286 682 681
947 637 288
717 948 768
659 617 988
251 470 558
724 30 483
363 22 885
584 72 958
353 46 751
80 19 673
614 198 343
652 742 147
466 242 938
292 646 643
541 738 252
670 213 488
494 82 24
34 306 674
363 109 47
502 480 590
966 836 709
786 562 716
659 591 306
200 930 249
362 691 143
685 253 921
336 687 625
482 20 364
542 985 447
667 985 232
876 921 465
988 895 619
942 230 96
963 443 975
631 878 88
39 482 486
406 350 445
289 146 673
176 514 985
837 799 386
813 854 908
298 518 512
982 113 430
318 541 84
870 895 556
129 452 188
938 437 65
102 137 657
733 410 145
128 725 66
475 911 635
254 875 588
329 813 855
73 930 868
311 919 280
802 796 843
528 907 228
474 787 337
87 540 16
217 411 990
559 23 106
778 6 582
403 296 307
306 478 696
297 534 554
571 68 57
26 752 851
228 390 173
332 229 49
80 577 379
281 25 984
576 902 415
934 252 446
572 65 427
893 567 341
735 243 287
337 535 492
476 404 451
791 752 662
972 853 809
951 947 895
299 202 107
652 137 879
949 287 202
417 625 221
666 824 658
180 451 887
624 23 530
627 138 131
71 946 771
412 650 627
743 218 16
118 514 722
154 758 617
537 615 380
363 662 359
460 253 995
589 226 233
24 316 409
122 433 627
551 850 710
916 47 349
46 524 339
211 57 563
936 470 135
880 176 122
490 405 919
238 147 370
564 783 480
127 95 496
49 561 51
445 814 311
606 114 1
310 177 128
180 355 235
987 347 708
230 399 62
954 820 93
923 598 812
210 952 149
482 622 662
652 221 812
868 930 651
153 532 1
646 711 191
407 929 910
769 448 168
704 810 545
742 68 436
225 587 969
580 456 820
127 281 320
41 219 94
258 485 348
919 366 462
919 770 492
744 251 324
92 822 565
245 110 208
176 630 338
206 27 82
15 814 904
241 629 692
951 792 170
360 344 268
314 46 229
176 270 860
284 263 272
223 526 958
968 700 196
275 166 691
869 753 681
618 110 210
278 560 310
342 934 485
555 515 896
521 634 241
291 912 551
166 260 610
143 614 833
654 672 970
79 769 495
472 200 844
169 180 612
232 612 198
206 21 156
422 299 714
641 380 1000
984 856 941
967 421 992
959 805 456
916 143 588
866 420 686
213 554 771
473 614 500
187 895 34
80 93 581
858 155 273
585 729 617
275 822 949
301 662 818
380 446 2
49 345 115
675 429 245
264 871 739
907 358 384
47 857 729
72 412 42
76 70 424
701 803 142
374 400 95
759 91 440
916 773 772
140 349 808
309 717 943
688 956 755
6 567 343
504 989 569
160 464 413
86 47 30
987 63 488
154 852 903
760 259 115
838 221 907
105 881 513
936 14 710
430 65 842
113 554 193
832 823 903
875 805 890
179 721 69
905 386 687
824 730 880
503 240 567
139 719 626
470 805 104
352 688 795
382 471 417
525 536 185
843 542 171
596 569 123
670 400 804
615 115 467
896 589 226
447 100 91
789 853 671
529 311 284
640 13 892
700 890 182
532 927 397
813 385 828
726 764 662
787 160 51
194 441 64
102 875 838
341 475 471
434 93 606
539 595 848
375 422 538
957 529 575
890 23 272
692 252 475
559 374 485
639 900 323
605 921 710
287 476 959
513 262 720
860 535 659
516 862 499
439 200 59
647 444 860
24 309 407
319 451 548
375 207 172
693 538 25
164 784 690
369 391 258
796 762 612
395 435 737
495 332 54
102 653 695
315 575 468
139 985 183
801 348 120
119 957 291
520 969 508
772 700 485
836 590 850
318 507 841
518 398 828
149 13 863
212 911 749
727 188 807
25 702 189
154 959 835
456 883 586
908 684 201
328 741 263
219 341 847
215 105 453
94 207 552
706 305 223
611 702 962
785 186 262
437 795 737
131 429 397
986 695 517
438 677 972
9 403 680
325 511 924
2 676 872
241 474 165
455 191 189
516 877 623
976 574 652
315 450 765
423 776 446
452 672 532
881 422 114
753 337 1
175 338 919
509 232 809
171 59 542
636 116 928
22 833 705
981 314 958
220 883 794
850 434 93
454 742 575
859 833 578
385 709 409
673 826 170
128 52 232
700 997 91
943 64 904
312 732 640
94 452 556
395 973 146
454 503 147
861 598 854
898 907 842
926 484 666
269 764 967
380 574 40
455 108 299
439 978 721
239 852 365
37 544 102
842 455 334
202 238 698
869 368 991
535 559 274
377 567 371
289 607 465
437 672 756
253 890 962
656 488 241
57 204 474
844 697 738
833 231 355
414 78 382
755 750 21
212 513 763
138 837 632
362 247 396
828 939 107
499 929 301
807 578 836
389 33 700
764 450 601
632 765 571
839 210 756
766 692 308
544 25 664
946 571 999
931 349 383
250 270 991
30 230 636
921 910 405
505 932 775
221 350 351
875 804 837
506 507 582
641 178 409
246 940 556
776 734 987
524 852 137
353 304 342
712 698 766
143 437 194
937 94 747
929 528 772
413 943 500
530 694 723
985 290 216
278 106 805
244 151 478
388 249 985
461 337 971
487 439 536
372 920 692
977 176 460
635 179 899
44 499 742
551 563 719
511 423 507
610 109 650
426 94 789
442 811 555
873 183 256
94 233 805
19 750 568
111 328 470
465 969 41
889 446 556
547 196 535
62 970 661
28 533 79
585 491 772
491 764 202
478 27 712
517 31 343
242 904 605
180 158 634
530 854 135
342 66 832
64 967 30
527 429 794
923 643 491
571 498 700
339 966 937
586 104 814
47 259 881
911 169 936
156 335 694
414 779 513
389 335 796
552 927 552
667 527 306
917 681 746
85 131 613
196 596 487
907 688 556
647 954 407
762 775 244
854 776 672
441 438 788
744 693 175
55 936 699
243 619 965
352 375 199
488 995 315
444 48 588
848 962 908
328 99 799
145 534 122
295 592 821
985 477 509
887 862 421
85 432 843
253 116 27
455 709 496
973 136 423
352 441 137
372 956 447
587 148 758
464 707 971
153 695 413
625 847 336
782 734 921
349 121 53
968 560 628
688 892 112
864 426 249
588 544 598
220 336 358
130 594 802
819 728 354
917 371 353
739 826 240
408 880 514
762 316 379
133 174 411
431 57 93
304 355 980
197 154 645
592 794 518
895 642 309
694 204 421
899 736 934
971 685 556
917 564 341
792 478 254
11 359 881
530 808 856
49 396 363
256 693 398
163 539 172
409 667 199
731 218 427
802 945 215
706 999 500
720 323 685
658 760 703
211 27 330
385 837 479
442 453 826
338 509 628
873 200 853
25 777 979
398 777 531
52 829 33
258 613 777
65 651 576
817 451 854
671 336 591
954 555 554
14 487 74
261 239 654
20 54 156
164 5 126
159 858 300
911 533 558
755 108 813
799 155 919
100 377 629
504 584 868
957 994 739
563 908 567
940 467 937
418 473 300
883 649 178
669 498 388
221 826 943
668 706 693
586 887 130
69 732 870
908 193 127
854 457 88
364 919 563
353 526 682
28 330 703
292 826 805
223 17 245
695 708 986
771 349 323
870 665 426
828 545 505
494 274 53
141 791 480
387 832 803
622 911 517
596 571 454
485 59 817
379 899 499
95 173 928
237 86 348
473 146 780
721 702 293
373 338 903
110 811 618
360 764 330
495 275 650
608 617 932
177 387 887
613 274 668
912 985 277
862 125 956
129 467 666
221 62 162
285 995 184
427 839 653
634 19 155
276 243 950
337 330 860
804 780 962
763 505 471
643 846 903
336 160 479
783 726 170
228 150 298
811 854 914
853 105 265
323 939 137
333 750 252
236 759 710
127 660 408
199 692 493
772 726 444
773 502 638
330 50 169
606 609 884
666 374 43
3 963 142
224 114 76
174 75 595
481 507 823
559 355 860
997 15 337
115 239 121
711 959 978
754 217 567
277 891 869
423 368 524
484 644 714
105 834 408
599 745 584
365 592 657
457 112 385
582 274 117
837 171 817
686 252 562
660 837 190
645 413 195
369 735 42
257 441 648
172 649 694
412 582 220
985 88 265
96 433 457
774 48 688
532 737 776
812 148 734
983 65 103
955 336 161
593 299 681
766 922 859
112 310 714
937 771 384
128 35 468
297 792 475
487 567 454
590 202 395
575 633 340
446 361 850
13 438 947
374 878 378
745 865 29
471 161 71
489 996 195
727 400 712
632 472 280
574 825 699
952 817 298
500 7 705
657 161 903
473 538 838
76 295 577
365 645 284
651 352 603
859 845 3
579 988 910
314 538 142
175 590 30
974 160 434
848 44 368
651 203 119
992 713 769
860 519 735
220 932 475
108 112 836
778 230 208
16 453 1000
638 29 676
991 454 835
397 486 496
490 13 787
623 803 832
478 717 748
313 557 34
676 313 614
778 620 832
475 6 264
975 982 222
324 138 835
261 452 635
660 345 900
251 741 389
532 468 62
945 960 339
613 377 854
236 102 132
734 985 511
207 778 82
169 199 441
15 257 501
952 889 914
558 960 881
384 243 893
203 848 745
824 619 891
561 884 707
756 467 525
359 812 561
183 274 920
741 124 397
594 239 543
570 158 63
182 845 294
444 49 228
673 671 1000
819 580 907
262 577 712
846 170 213
557 333 680
934 47 289
445 20 390
559 507 472
